date,time,cpu-thermal
2026-09-02,03:08:01,56.531
2026-09-02,03:09:01,56.875
2026-09-02,03:10:02,56.718
2026-09-02,03:11:01,56.531
2026-09-02,03:12:01,56.437
2026-09-02,03:13:01,56.625
2026-09-02,03:14:01,56.625
2026-09-02,03:15:01,56.812
2026-09-02,03:16:01,56.656
2026-09-02,03:17:01,56.437
2026-09-02,03:18:01,56.406
2026-09-02,03:19:01,56.656
2026-09-02,03:20:01,56.656
2026-09-02,03:21:01,56.531
2026-09-02,03:22:01,56.406
2026-09-02,03:23:02,56.593
2026-09-02,03:24:01,56.468
2026-09-02,03:25:01,56.531
2026-09-02,03:26:01,56.250
2026-09-02,03:27:01,56.218
2026-09-02,03:28:01,56.875
2026-09-02,03:29:01,56.843
2026-09-02,03:30:01,56.750
2026-09-02,03:31:01,56.562
2026-09-02,03:32:01,56.531
2026-09-02,03:33:01,56.562
2026-09-02,03:34:01,56.500
2026-09-02,03:35:01,56.593
2026-09-02,03:36:02,56.406
2026-09-02,03:37:01,56.625
2026-09-02,03:38:01,56.500
2026-09-02,03:39:01,56.875
2026-09-02,03:40:01,56.781
2026-09-02,03:41:01,56.593
2026-09-02,03:42:01,56.562
2026-09-02,03:43:01,56.593
2026-09-02,03:44:01,56.375
2026-09-02,03:45:01,56.500
2026-09-02,03:46:01,56.562
2026-09-02,03:47:01,56.531
2026-09-02,03:48:01,56.437
2026-09-02,03:49:02,56.250
2026-09-02,03:50:01,56.593
2026-09-02,03:51:01,56.500
2026-09-02,03:52:01,56.500
2026-09-02,03:53:01,56.406
2026-09-02,03:54:01,56.312
2026-09-02,03:55:01,56.437
2026-09-02,03:56:01,56.562
2026-09-02,03:57:01,56.593
2026-09-02,03:58:01,56.406
2026-09-02,03:59:01,56.531
2026-09-02,04:00:01,56.343
2026-09-02,04:01:01,56.531
2026-09-02,04:02:02,56.593
2026-09-02,04:03:01,56.625
2026-09-02,04:04:01,56.468
2026-09-02,04:05:01,56.718
2026-09-02,04:06:01,56.281
2026-09-02,04:07:01,56.281
2026-09-02,04:08:01,56.281
2026-09-02,04:09:01,56.343
2026-09-02,04:10:01,56.437
2026-09-02,04:11:01,56.531
2026-09-02,04:12:01,56.562
2026-09-02,04:13:01,56.562
2026-09-02,04:14:01,56.500
2026-09-02,04:15:02,56.468
2026-09-02,04:16:01,56.781
2026-09-02,04:17:01,56.218
2026-09-02,04:18:01,56.500
2026-09-02,04:19:01,56.843
2026-09-02,04:20:01,56.718
2026-09-02,04:21:01,56.468
2026-09-02,04:22:01,56.906
2026-09-02,04:23:01,56.437
2026-09-02,04:24:01,56.281
2026-09-02,04:25:01,56.656
2026-09-02,04:26:01,56.531
