date,time,cpu-thermal
2026-09-01,00:01:01,58.625,58.406,NA,NA,NA,58.062,58.062,57.406,58.625
2026-09-01,00:02:01,58.500,58.531,NA,NA,NA,57.937,58.031,57.468,58.531
2026-09-01,00:03:01,58.656,58.531,NA,NA,NA,57.906,58.000,57.531,58.656
2026-09-01,00:04:01,58.593,58.500,NA,NA,NA,58.062,58.062,57.500,58.593
2026-09-01,00:05:01,58.343,58.812,NA,NA,NA,58.125,58.062,57.468,58.812
2026-09-01,00:06:01,58.656,58.468,NA,NA,NA,58.031,58.093,57.375,58.687
2026-09-01,00:07:02,58.375,58.406,NA,NA,NA,57.937,57.937,57.343,58.406
2026-09-01,00:08:01,58.343,58.531,NA,NA,NA,58.000,57.968,57.437,58.531
2026-09-01,00:09:01,58.437,58.406,NA,NA,NA,58.000,57.906,57.406,58.437
2026-09-01,00:10:01,58.343,58.562,NA,NA,NA,57.937,57.968,57.406,58.562
2026-09-01,00:11:01,58.312,58.437,NA,NA,NA,57.937,57.968,57.281,58.437
2026-09-01,00:12:01,58.375,58.812,NA,NA,NA,58.000,57.968,57.250,58.375
2026-09-01,00:13:01,58.343,58.718,NA,NA,NA,57.875,57.781,57.250,58.718
2026-09-01,00:14:01,58.218,58.375,NA,NA,NA,57.812,57.750,57.218,58.375
2026-09-01,00:15:01,58.250,58.656,NA,NA,NA,57.906,58.031,57.250,58.656
2026-09-01,00:16:01,58.656,58.343,NA,NA,NA,57.750,57.906,57.218,58.656
2026-09-01,00:17:01,58.375,58.218,NA,NA,NA,57.812,57.906,57.281,58.375
2026-09-01,00:18:01,58.375,58.218,NA,NA,NA,57.812,57.812,57.312,58.375
2026-09-01,00:19:01,58.343,58.500,NA,NA,NA,57.812,57.968,57.250,58.500
2026-09-01,00:20:02,58.343,58.500,NA,NA,NA,57.875,57.812,57.281,58.500
2026-09-01,00:21:01,58.343,58.468,NA,NA,NA,57.875,57.843,57.312,58.468
2026-09-01,00:22:01,58.125,58.250,NA,NA,NA,57.937,57.968,57.250,58.312
2026-09-01,00:23:01,58.343,58.687,NA,NA,NA,57.875,57.906,57.281,58.687
2026-09-01,00:24:01,58.281,58.406,NA,NA,NA,57.750,57.843,57.281,58.406
2026-09-01,00:25:01,58.437,58.718,NA,NA,NA,57.906,57.781,57.187,58.718
2026-09-01,00:26:01,58.312,58.281,NA,NA,NA,57.750,57.968,57.187,58.312
2026-09-01,00:27:01,58.437,58.250,NA,NA,NA,57.781,57.843,57.250,58.437
2026-09-01,00:28:01,58.437,58.468,NA,NA,NA,57.843,57.843,57.250,58.468
2026-09-01,00:29:01,58.625,58.500,NA,NA,NA,57.781,57.750,57.218,58.625
2026-09-01,00:30:01,58.593,58.250,NA,NA,NA,57.750,57.812,57.125,58.437
2026-09-01,00:31:01,58.281,58.468,NA,NA,NA,57.718,57.781,57.218,58.281
2026-09-01,00:32:02,58.656,58.406,NA,NA,NA,57.750,57.875,57.218,58.656
2026-09-01,00:33:01,58.687,58.093,NA,NA,NA,57.750,57.718,57.281,58.687
2026-09-01,00:34:01,58.375,58.406,NA,NA,NA,57.781,57.750,57.281,58.812
2026-09-01,00:35:01,58.312,58.531,NA,NA,NA,57.750,57.968,57.218,58.531
2026-09-01,00:36:01,58.656,58.281,NA,NA,NA,57.687,57.937,57.218,58.656
2026-09-01,00:37:01,58.593,58.593,NA,NA,NA,57.750,57.812,57.125,58.593
